AREA,PERIMETER,TR11_D00_,TR11_D00_I,STATE,COUNTY,TRACT,NAME,LSAD,LSAD_TRANS,GEO_ID,dec00_vari,dec00_va_1,dec00_va_2,dec00_va_3,dec00_va_4,dec00_va_5,dec00_va_6,dec00_va_7,dec00_va_8,dec00_va_9,dec00_va10,dec00_va11,dec00_va12,dec00_va13,dec00_va14,dec00_va15,dec00_va16,dec00_va17,dec00_va18,dec00_va19,dec00_va20,dec00_va21,dec00_va22,dec00_va23,dec00_va24,dec00_va25,dec00_va26,dec00_va27,dec00_va28,dec00_va29,dec00_va30,dec00_va31,dec00_va32,dec00_va33,dec00_va34,dec00_va35,dec00_va36,dec00_va37,dec00_va38,dec00_va39,dec00_va40,dec00_va41,dec00_va42,dec00_va43,dec00_va44,dec00_va45,dec00_va46,dec00_va47,dec00_va48,dec00_va49,dec00_va50,dec00_va51,dec00_va52,dec00_va53,dec00_va54,dec00_va55,dec00_va56,dec00_va57,dec00_va58,dec00_va59,dec00_va60,dec00_va61,dec00_va62,dec00_va63,dec00_va64,dec00_va65,dec00_va66,dec00_va67,dec00_va68,dec00_va69,dec00_va70,dec00_va71,dec00_va72,dec00_va73,dec00_va74,dec00_va75,dec00_va76,dec00_va77,dec00_va78,dec00_va79,dec00_va80,dec00_va81,dec00_va82,dec00_va83,dec00_va84,dec00_va85,dec00_va86,dec00_va87,dec00_va88,dec00_va89,dec00_va90,dec00_va91,dec00_va92,dec00_va93,dec00_va94
0.000278315438201,0.083388023880659,2.000000000000000,1.000000000000000,11,001,0016,0016,TR,,1400000US11001001600,48.2,4030,1871,46.4,2159,53.6,2919,72.4,2206,65.1,2120,62.5,86,2.5,1185,34.9,1120,62.5,166,76,90,20,8,12,31,4,27,34,11,23,81,53,28,92.3,96.4,88.1,96.1,91.9,100,98.4,98.3,98.4,0,0,0,0,0,0,0,0,0,0,5,6,0,8,14,0,6,14,37,107,211,306,163,152,22,41,68,8,15,52,145,16,29,1465,168,6,0,0,1618,197,4.9,81,21.5,58,16.3,94624,-4.470080158,-5.588684445,-5.642303718,3.275835403,-5.34477546,-2.430121707,-0.860662013
0.000492045266983,0.106143313807600,3.000000000000000,2.000000000000000,11,001,0015,0015,TR,,1400000US11001001500,44.8,5649,2664,47.2,2985,52.8,633,11.2,2847,64.3,2787,62.9,51,1.2,1583,35.7,1315,56.1,131,78,53,21,16,5,0,0,0,50,33,17,60,29,31,100,100,100,98.8,97.7,100,98.6,97.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,18,79,10,0,12,83,10,9,1953,269,37,28,20,2135,88,1.6,60,14.9,28,5.2,107917,-3.596426611,-6.404972527,-5.196407139,-0.970455994,-4.256094839,-1.540900907,-5.355517562
0.000063246405981,0.038731131939553,4.000000000000000,3.000000000000000,11,001,001701,0017.01,TR,,1400000US11001001701,40.5,2968,1352,45.6,1616,54.4,2297,77.4,1820,70.4,1702,65.8,118,4.6,767,29.6,1008,70,214,99,115,33,33,0,60,17,43,62,29,33,59,20,39,76.2,72.1,80.8,81.6,78.6,84.6,87,77.7,93.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,30,62,73,110,327,93,79,36,5,18,14,84,18,86,29,124,589,643,0,31,0,1253,416,13.8,131,30.3,94,16.7,47813,-4.17577173,-5.117918689,-5.113423185,2.955859426,-3.27812285,-3.151309719,-1.365475506
0.000050971550000,0.028958061773703,5.000000000000000,4.000000000000000,11,001,001801,0018.01,TR,,1400000US11001001801,26,615,388,63.1,227,36.9,211,34.3,566,92,45,7.3,0,0,49,8,39,22.3,331,185,146,0,0,0,121,73,48,191,104,87,19,8,11,100,100,100,100,100,NA,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,9,0,170,250,322,63,149,36,35,22.5,0,0,0,0,0,0,0,0,0,7,0,0,0,14,38,6.5,0,0,38,26.2,42188,-2.899431289,-0.575439537,-6.322585058,4.9864053,1.120804692,-0.672428185,0.70142836
0.000099042068735,0.049800318398827,6.000000000000000,5.000000000000000,11,001,001702,0017.02,TR,,1400000US11001001702,41.8,2240,1038,46.3,1202,53.7,1637,73.1,1092,61.2,1029,57.7,63,3.5,692,38.8,583,60.3,142,71,71,51,35,16,31,20,11,31,11,20,29,5,24,88.4,91.9,86.1,79.7,77.3,83,94.8,97.5,92.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,120,83,77,24.3,24,41,6,31,0,100,6,51,712,271,24,9,18,829,94,4.3,34,12.6,60,19.3,52393,-4.048801754,-3.790908127,-4.87802862,0.725275922,-2.043402578,-1.295286236,-2.981238224
0.000125270000000,0.045687056991977,7.000000000000000,6.000000000000000,11,001,001803,0018.03,TR,,1400000US11001001803,37.1,3066,1417,46.2,1649,53.8,2146,70,1662,66,1515,60.2,147,5.8,856,34,953,67.3,245,139,106,111,68,43,56,41,15,59,20,39,19,10,9,72.8,63.6,81.6,77,76.9,77.1,76.5,85,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,28,55,20,0,0,19.1,5,8,55,111,11,41,120,171,307,1199,0,46,13,1391,359,11.7,102,26.5,96,17.1,34565,-3.986503343,-4.996990063,-5.210802683,-0.127070414,-5.755364179,-2.579247101,-3.34418643
0.000062215000000,0.033288419646835,8.000000000000000,7.000000000000000,11,001,001804,0018.04,TR,,1400000US11001001804,36.7,4156,1900,45.7,2256,54.3,2995,72.1,2184,65.4,2009,60.2,156,4.7,1155,34.6,1165,64.3,392,206,186,218,153,65,61,20,41,107,33,74,6,0,6,67.7,68.9,66.1,78.6,76.1,80.6,70.9,67.4,73.5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,41,153,193,88,29,23.5,6,54,65,114,19,91,116,264,580,1194,5,95,15,1613,715,17.2,121,25.2,109,19.3,33520,-4.1572792,-5.742162339,-6.223961021,1.806819223,-8.238764252,-3.378753352,-5.513270406
0.000084258186755,0.042108202217549,9.000000000000000,8.000000000000000,11,001,001401,0014.01,TR,,1400000US11001001401,39.6,3150,1426,45.3,1724,54.7,157,5,1992,76.4,1915,73.5,77,3,615,23.6,1051,72.9,175,65,110,49,24,25,26,18,8,38,23,15,62,0,62,95.6,95.6,95.6,98.4,100,97,94.3,93.6,94.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,189,190,235,127,97,21.8,6,13,0,21,19,13,7,38,767,693,37,16,0,1404,107,3.4,10,3.3,81,13.4,87823,-3.117176416,-5.187983474,-5.599012502,2.09754191,-1.47563386,-1.247752014,-2.233179268
0.000110261127303,0.045312757765912,10.000000000000000,9.000000000000000,11,001,009505,0095.05,TR,,1400000US11001009505,47.5,2671,1135,42.5,1536,57.5,2503,93.7,1184,53,1083,48.5,88,3.9,1050,47,628,47.7,115,67,48,41,36,5,6,0,6,40,22,18,28,9,19,100,100,100,94.7,89.9,100,89.6,87.5,90.9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,59,85,59,13,6,22.4,19,45,7,7,32,191,21,34,945,204,0,11,6,1087,155,6.6,11,5.4,86,25.2,46023,-4.560673253,-3.946569575,-4.817710081,0.385048468,-4.116383295,-1.323896488,-1.202628836
0.000080475150000,0.036323963992358,11.000000000000000,10.000000000000000,11,001,001901,0019.01,TR,,1400000US11001001901,42.6,3949,1734,43.9,2215,56.1,3586,90.8,1896,58.7,1799,55.7,97,3,1336,41.3,1027,56.5,309,186,123,92,79,13,91,46,45,118,53,65,8,8,0,86.2,87.6,84.9,83.2,75.9,89,76.1,66.2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,29,0,0,0,0,24.1,26,44,0,61,39,320,8,110,1201,310,5,17,0,1408,453,11.5,35,16.7,66,17.1,47339,-4.577875654,-5.249253514,-5.945996331,-0.245555669,-5.681598273,-1.993596148,-1.205291097
