OBJECTID,GEO.id,dec_mgrp
1,1400000US11001007407,24.0
2,1400000US11001007409,26.8
3,1400000US11001007502,28.4
4,1400000US11001007503,31.5
5,1400000US11001007504,24.8
6,1400000US11001007603,27.9
7,1400000US11001007604,22.9
8,1400000US11001007605,24.3
9,1400000US11001007707,26.1
10,1400000US11001007708,27.7
11,1400000US11001007709,25.3
12,1400000US11001007803,26.8
13,1400000US11001007804,21.8
14,1400000US11001007807,22.2
15,1400000US11001007808,28.1
16,1400000US11001007809,20.1
17,1400000US11001007903,25.7
18,1400000US11001008001,30.1
19,1400000US11001008002,21.9
20,1400000US11001008200,21.9
21,1400000US11001008301,21.9
22,1400000US11001008402,26.2
23,1400000US11001008410,23.5
24,1400000US11001008701,23.8
25,1400000US11001008802,26.3
26,1400000US11001008803,33.0
27,1400000US11001008804,27.1
28,1400000US11001008903,23.9
29,1400000US11001009000,27.5
30,1400000US11001009102,24.9
31,1400000US11001009201,33.3
32,1400000US11001009204,25.5
33,1400000US11001000100,22.0
34,1400000US11001000201,0.0
35,1400000US11001000400,24.3
36,1400000US11001000702,24.1
37,1400000US11001001002,31.1
38,1400000US11001001401,24.1
39,1400000US11001001702,22.5
40,1400000US11001002201,30.0
41,1400000US11001002501,28.5
42,1400000US11001002801,25.8
43,1400000US11001002900,28.3
44,1400000US11001003301,29.6
45,1400000US11001003600,27.1
46,1400000US11001004002,22.7
47,1400000US11001004202,23.7
48,,
49,1400000US11001004901,27.9
50,1400000US11001005600,34.5
51,1400000US11001006400,25.9
52,1400000US11001006801,28.9
53,1400000US11001007100,22.2
54,1400000US11001007403,22.4
55,1400000US11001007408,28.4
56,1400000US11001007601,22.5
57,1400000US11001007703,26.2
58,1400000US11001007806,20.7
59,1400000US11001007901,24.3
60,1400000US11001008302,22.0
61,1400000US11001008702,21.3
62,1400000US11001008904,29.8
63,1400000US11001009203,25.7
64,1400000US11001009302,25.4
65,1400000US11001009504,22.2
66,1400000US11001009509,14.3
67,1400000US11001009602,30.2
68,1400000US11001009603,26.9
69,1400000US11001009604,25.9
70,1400000US11001009700,23.4
71,1400000US11001009802,18.7
72,1400000US11001009807,25.4
73,1400000US11001009904,25.0
74,1400000US11001009906,32.6
75,,
76,,
77,1400000US11001000202,36.0
78,1400000US11001000300,22.5
79,1400000US11001000501,19.1
80,1400000US11001000502,23.5
81,1400000US11001000600,21.8
82,1400000US11001000701,22.4
83,1400000US11001000802,25.5
84,1400000US11001000901,26.3
85,1400000US11001000902,17.9
86,1400000US11001001001,23.3
87,1400000US11001001100,22.8
88,1400000US11001001200,22.2
89,1400000US11001001301,22.4
90,1400000US11001001302,22.7
91,1400000US11001001402,29.1
92,1400000US11001001500,24.3
93,1400000US11001001600,23.6
94,1400000US11001001803,23.6
95,1400000US11001001804,24.4
96,1400000US11001001901,22.5
97,1400000US11001002001,24.8
98,1400000US11001002002,26.9
