GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Median gross rent as a percentage of household income in 1999
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",22.0
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",0.0
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",36.0
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",22.5
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",24.3
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",19.1
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",23.5
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",21.8
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",22.4
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",24.1
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",26.4
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",25.5
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",26.3
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",17.9
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",23.3
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",31.1
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",22.8
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",22.2
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",22.4
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",22.7
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",24.1
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",29.1
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",24.3
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",23.6
1400000US11001001701,11001001701,"Census Tract 17.01, District of Columbia, District of Columbia",23.0
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",22.5
1400000US11001001801,11001001801,"Census Tract 18.01, District of Columbia, District of Columbia",25.6
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",23.6
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",24.4
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",22.5
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",19.8
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",24.8
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",26.9
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",23.2
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",25.5
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",30.0
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",21.4
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",19.5
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",26.3
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",31.0
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",28.5
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",25.2
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",22.5
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",25.3
